"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"162","191582661","Carrer Coprincep Francois Miterrand","NULL","residential","0","0","NULL"
"163","191582662","Rambla Molines","NULL","footway","0","1","NULL"
"164","191582667","Rambla Molines","NULL","footway","0","0","NULL"
"165","191582670","Carrer Passeig del Valira","NULL","residential","1","0","NULL"
"166","191582673","Carrer de la Grella","NULL","residential","0","0","NULL"
"167","191582674","Cami del Pont Pla","NULL","steps","0","0","NULL"
"168","191582678","Carrer de la Tobira","NULL","residential","0","0","NULL"
"169","192465246","Avinguda Consell d'Europa","CG3i4","primary","1","0","NULL"
"170","192465249","Avinguda del Pessebre","NULL","primary","1","0","NULL"
"171","192465251","Avinguda del Pessebre","NULL","primary","1","0","NULL"
"172","194554946","Carrer dels Veedors","NULL","pedestrian","0","0","NULL"
"173","194554953","Passatge Arnaldeta de Caboet","NULL","pedestrian","0","0","NULL"
"174","194554961","Passeig Arnaldeta de Caboet","NULL","pedestrian","0","0","NULL"
"175","199039142","Avinguda del Pessebre","NULL","primary","1","0","NULL"
"176","199040897","Carrer de la Parroquia","NULL","steps","0","0","NULL"
"177","202604479","Cami dels Vilars","NULL","footway","0","0","NULL"
"178","202604486","Ctra. de Sant Roma","NULL","residential","0","0","NULL"
"179","208583103","Avinguda Coprincep de Gaulle","NULL","primary","1","1","NULL"
"180","208583106","Avinguda Coprincep de Gaulle","NULL","primary","1","0","NULL"
"181","208583110","Cami de la Vinya","NULL","residential","0","0","NULL"
"182","208583132","Urb. Sant Roma dels Vilars","NULL","residential","0","0","NULL"
"183","208583134","Carrer de les Teulades","NULL","residential","0","0","NULL"
"184","208583136","Av. del Pont de la Tosca","NULL","primary","0","0","NULL"
"185","208583139","Roundabout","NULL","residential","1","0","NULL"
"186","208583145","Cami del Pui","NULL","residential","0","0","NULL"
"187","208583147","Carrer Terra Vella","NULL","residential","0","0","NULL"
"188","208583151","Urb. Sant Roma dels Vilars","NULL","residential","0","0","NULL"
"189","208583153","Carrer de l'etang Sale","NULL","residential","0","0","NULL"
"190","208583156","Urbanitzacio Comes de Guem","NULL","residential","0","0","NULL"
"191","208583164","Cami Borda Nova","NULL","residential","0","0","NULL"
"192","208583166","Carretera dels Vilars","NULL","residential","1","0","NULL"
"193","208583173","Carretera dels Vilars","NULL","residential","0","0","NULL"
"194","208583174","Carrer de l'Anglata","NULL","residential","0","0","NULL"
"195","208585090","Avinguda Doctor Mitjavila","CG-3a","primary","1","0","NULL"
"196","208585098","Vial de la Unio","CG-3i4","primary","0","1","NULL"
"197","208585099","Urb. sacalma","NULL","residential","0","0","NULL"
"198","208585101","Avinguda Esteve Albert","NULL","primary","1","0","NULL"
"199","208585103","Urb. Sacalma","NULL","residential","0","0","NULL"
"200","208585104","Carrer de Coll de Jou","NULL","residential","0","0","50"
"201","225345348","Avinguda Prat de la Creu","CG3a","primary","1","0","NULL"
"202","225345350","Avinguda Prat de la Creu","CG3a","primary","1","1","NULL"
"203","225345353","Avinguda de Tarragona","CG-1","primary","0","0","60"
"204","225345356","Avinguda de Tarragona","CG-1","primary","1","0","50"
"205","225345357","Avinguda de Tarragona","CG-1","primary","1","0","60"
"206","225345359","Baixada del Moli","NULL","primary","1","1","50"
"207","225345367","Carrer Bonaventura Armengol","NULL","primary","1","0","NULL"
"208","225345368","Carrer Bonaventura Armengol","NULL","primary","1","1","NULL"
"209","225769851","Carrer La Llacuna","NULL","residential","1","0","NULL"
"210","225769852","Cap del Carrer","NULL","residential","0","0","NULL"
"211","225775453","Carrer La Llacuna","NULL","residential","0","0","NULL"
"212","225775459","Cap del Carrer","NULL","footway","0","0","NULL"
"213","225775479","Carrer La Llacuna","NULL","residential","0","0","NULL"
"214","226847050","Cap del Carrer","NULL","pedestrian","0","0","NULL"
"215","226847052","Cap del Carrer","NULL","steps","0","0","NULL"
"216","226847577","Cap del Carrer","NULL","pedestrian","0","0","NULL"
"217","226847578","Cap del Carrer","NULL","residential","0","0","NULL"
"218","231383444","Carrer de Prat Primer","NULL","residential","1","0","NULL"
"219","231810095","Carrer Paraires","NULL","residential","1","0","NULL"
"220","231810845","Carrer François Mitterrand","NULL","residential","1","0","NULL"
